Day/Month/Year,BusStop,Pasengers
อังคารที่ 4 มกราคม 2565,7-Eleven Stop,580
,ETC office ,524
พุธที่ 5 มกราคม 2565,7-Eleven Stop,620
,ETC office ,499
พฤหัสบดีที่ 6 มกราคม 2565,7-Eleven Stop,603
,ETC office ,507
ศุกร์ที่ 7 มกราคม 2565,7-Eleven Stop,594
,ETC office ,447
จันทร์ที่ 10 มกราคม 2565,7-Eleven Stop,609
,ETC office ,532
อังคารที่ 11 มกราคม 2565,7-Eleven Stop,611
,ETC office ,511
พุธที่ 12 มกราคม 2565,7-Eleven Stop,553
,ETC office ,515
พฤหัสบดีที่ 13 มกราคม 2565,7-Eleven Stop,602
,ETC office ,479
ศุกร์ที่ 14 มกราคม 2565,7-Eleven Stop,609
,ETC office ,478
จันทร์ที่ 17 มกราคม 2565,7-Eleven Stop,683
,ETC office ,597
อังคารที่ 18 มกราคม 2565,7-Eleven Stop,704
,ETC office ,543
พุธที่ 19 มกราคม 2565,7-Eleven Stop,703
,ETC office ,594
พฤหัสบดีที่ 20 มกราคม 2565,7-Eleven Stop,643
,ETC office ,566
ศุกร์ที่ 21 มกราคม 2565,7-Eleven Stop,651
,ETC office ,575
จันทร์ที่ 24 มกราคม 2565,7-Eleven Stop,667
,ETC office ,551
อังคารที่ 25 มกราคม 2565,7-Eleven Stop,700
,ETC office ,571
พุธที่ 26 มกราคม 2565,7-Eleven Stop,680
,ETC office ,558
พฤหัสบดีที่ 27 มกราคม 2565,7-Eleven Stop,660
,ETC office ,595
ศุกร์ที่ 28 มกราคม 2565,7-Eleven Stop,624
,ETC office ,573
จันทร์ที่ 31 มกราคม 2565,7-Eleven Stop,631
,ETC office ,524
อังคารที่ 1 กุมภาพันธ์ 2565,7-Eleven Stop,749
,ETC office ,618
พุธที่ 2 กุมภาพันธ์ 2565,7-Eleven Stop,834
,ETC office ,622
พฤหัสบดีที่ 3 กุมภาพันธ์ 2565,7-Eleven Stop,787
,ETC office ,613
ศุกร์ที่ 4 กุมภาพันธ์ 2565,7-Eleven Stop,749
,ETC office ,521
,Building A Gate 6,137
จันทร์ที่ 7 กุมภาพันธ์ 2565,7-Eleven Stop,769
,ETC office ,624
,Building A Gate 6,143
อังคารที่ 8 กุมภาพันธ์ 2565,7-Eleven Stop,824
,ETC office ,579
,Building A Gate 6,134
พุธที่ 9 กุมภาพันธ์ 2565,7-Eleven Stop,816
,ETC office ,584
,Building A Gate 6,99
พฤหัสบดีที่ 10 กุมภาพันธ์ 2565,7-Eleven Stop,783
,ETC office ,592
,Building A Gate 6,131
ศุกร์ที่ 11 กุมภาพันธ์ 2565,7-Eleven Stop,714
,ETC office ,514
,Building A Gate 6,118
จันทร์ที่ 14 กุมภาพันธ์ 2565,7-Eleven Stop,745
,ETC office ,640
,Building A Gate 6,161
อังคารที่ 15 กุมภาพันธ์ 2565,7-Eleven Stop,739
,ETC office ,592
,Building A Gate 6,122
พฤหัสบดีที่ 17 กุมภาพันธ์ 2565,7-Eleven Stop,731
,ETC office ,572
,Building A Gate 6,107
ศุกร์ที่ 18 กุมภาพันธ์ 2565,7-Eleven Stop,760
,ETC office ,534
,Building A Gate 6,130
จันทร์ที่ 21 กุมภาพันธ์ 2565,7-Eleven Stop,750
,ETC office ,555
,Building A Gate 6,135
อังคารที่ 22 กุมภาพันธ์ 2565,7-Eleven Stop,835
,ETC office ,638
,Building A Gate 6,146
พุธที่ 23 กุมภาพันธ์ 2565,7-Eleven Stop,784
,ETC office ,600
,Building A Gate 6,114
พฤหัสบดีที่ 24 กุมภาพันธ์ 2565,7-Eleven Stop,763
,ETC office ,582
,Building A Gate 6,101
ศุกร์ที่ 25 กุมภาพันธ์ 2565,7-Eleven Stop,679
,ETC office ,545
,Building A Gate 6,154
จันทร์ที่ 28 กุมภาพันธ์ 2565,7-Eleven Stop,780
,ETC office ,544
,Building A Gate 6,160
อังคารที่ 1 มีนาคม 2565,7-Eleven Stop,753
,ETC office ,607
,Building A Gate 6,143
พุธที่ 2 มีนาคม 2565,7-Eleven Stop,755
,ETC office ,573
,Building A Gate 6,125
พฤหัสบดีที่ 3 มีนาคม 2565,7-Eleven Stop,685
,ETC office ,588
,Building A Gate 6,64
ศุกร์ที่ 4 มีนาคม 2565,7-Eleven Stop,707
,ETC office ,555
,Building A Gate 6,76
จันทร์ที่ 7 มีนาคม 2565,7-Eleven Stop,676
,ETC office ,580
,Building A Gate 6,56
อังคารที่ 8 มีนาคม 2565,7-Eleven Stop,741
,ETC office ,554
,Building A Gate 6,61
พุธที่ 9 มีนาคม 2565,7-Eleven Stop,795
,ETC office ,601
,Building A Gate 6,70
พฤหัสบดีที่ 10 มีนาคม 2565,7-Eleven Stop,698
,ETC office ,590
,Building A Gate 6,59
ศุกร์ที่ 11 มีนาคม 2565,7-Eleven Stop,676
,ETC office ,479
,Building A Gate 6,70
จันทร์ที่ 14 มีนาคม 2565,7-Eleven Stop,724
,ETC office ,550
,Building A Gate 6,43
อังคารที่ 15 มีนาคม 2565,7-Eleven Stop,734
,ETC office ,601
,Building A Gate 6,49
พุธที่ 16 มีนาคม 2565,7-Eleven Stop,725
,ETC office ,620
,Building A Gate 6,75
