Building,Month/Year,kWh,Bath
BM,พ.ค 60,"81,547.41 ","326,189.65 "
BM,มิ.ย 60,"88,326.45 ","353,305.82 "
BM,ก.ค 60,"84,589.09 ","338,356.37 "
BM,ส.ค 60,"81,992.93 ","327,971.70 "
BM,ก.ย 60,"84,729.78 ","338,919.11 "
BM,ต.ค 60,"78,476.56 ","313,906.24 "
BM,พ.ย 60,"72,296.09 ","289,184.38 "
BM,ธ.ค 60,"72,831.24 ","291,324.96 "
BM,ม.ค 61,"73,617.84","294,471.36"
BM,ก.พ 61,"77,336.85","309,347.41"
BM,มี.ค 61,"90,501.32","362,005.26"
BM,เม.ย 61,"85,316.88","341,267.54"
BM,พ.ค 61,"77,772.50","311,090.02"
BM,มิ.ย 61,"87,405.91","349,623.63"
BM,ก.ค 61,"81,599.32","326,397.30"
BM,ส.ค 61,"82,783.85","331,135.38"
BM,ก.ย 61,"90,581.44","362,325.75"
BM,ต.ค 61,"92,528.59","370,114.37"
BM,พ.ย 61,"81,836.70","339,622.32"
BM,ธ.ค 61,"72,958.07","302,775.98"
BM,ม.ค 62,"57,163.68","228,654.74"
BM,ก.พ 62,"56,079.91","232,731.62"
BM,มี.ค 62,"59,726.92","247,866.70"
BM,เม.ย 62,"63,843.81","264,951.82"
BM,พ.ค 62,"70,071.14","290,795.24"
BM,มิ.ย 62,"62,968.23","261,318.16"
BM,ก.ค 62,"76,755.80","318,536.59"
BM,ส.ค 62,"92,146.02","382,405.99"
BM,ก.ย 62,"91,858.83","381,214.14"
BM,ต.ค 62,"88,624.13","367,790.14"
BM,พ.ย 62,"71,239.06","295,642.11"
BM,ธ.ค 62,"68,712.75","285,157.89"
BM,ม.ค 63,"53,490.78","221,986.72"
BM,ก.พ 63,"65,319.86","271,077.40"
BM,มี.ค 63,"43,216.44","179,348.23"
BM,เม.ย 63,"60,797.93","252,311.43"
BM,พ.ค 63,"70,886.81","294,180.28"
BM,มิ.ย 63,"63,180.26","262,198.10"
BM,ก.ค 63,"62,516.07","259,441.70"
BM,ส.ค 63,"54,360.09","225,594.35"
BM,ก.ย 63,"58,085.55","241,055.05"
BM,ต.ค 63,"46,136.52","191,466.54"
BM,พ.ย 63,"46,115.20","191,378.07"
BM,ธ.ค 63,"44,776.69","185,823.24"
BM,ม.ค 64,"48,702.91 ","202,117.07 "
