Day/Month/Year,BusStop,Pasengers
อังคารที่ 4 มกราคม 2565,7-Eleven Stop,580
อังคารที่ 4 มกราคม 2565,ETC office ,524
พุธที่ 5 มกราคม 2565,7-Eleven Stop,620
พุธที่ 5 มกราคม 2565,ETC office ,499
พฤหัสบดีที่ 6 มกราคม 2565,7-Eleven Stop,603
พฤหัสบดีที่ 6 มกราคม 2565,ETC office ,507
ศุกร์ที่ 7 มกราคม 2565,7-Eleven Stop,594
ศุกร์ที่ 7 มกราคม 2565,ETC office ,447
จันทร์ที่ 10 มกราคม 2565,7-Eleven Stop,609
จันทร์ที่ 10 มกราคม 2565,ETC office ,532
อังคารที่ 11 มกราคม 2565,7-Eleven Stop,611
อังคารที่ 11 มกราคม 2565,ETC office ,511
พุธที่ 12 มกราคม 2565,7-Eleven Stop,553
พุธที่ 12 มกราคม 2565,ETC office ,515
พฤหัสบดีที่ 13 มกราคม 2565,7-Eleven Stop,602
พฤหัสบดีที่ 13 มกราคม 2565,ETC office ,479
ศุกร์ที่ 14 มกราคม 2565,7-Eleven Stop,609
ศุกร์ที่ 14 มกราคม 2565,ETC office ,478
จันทร์ที่ 17 มกราคม 2565,7-Eleven Stop,683
จันทร์ที่ 17 มกราคม 2565,ETC office ,597
อังคารที่ 18 มกราคม 2565,7-Eleven Stop,704
อังคารที่ 18 มกราคม 2565,ETC office ,543
พุธที่ 19 มกราคม 2565,7-Eleven Stop,703
พุธที่ 19 มกราคม 2565,ETC office ,594
พฤหัสบดีที่ 20 มกราคม 2565,7-Eleven Stop,643
พฤหัสบดีที่ 20 มกราคม 2565,ETC office ,566
ศุกร์ที่ 21 มกราคม 2565,7-Eleven Stop,651
ศุกร์ที่ 21 มกราคม 2565,ETC office ,575
จันทร์ที่ 24 มกราคม 2565,7-Eleven Stop,667
จันทร์ที่ 24 มกราคม 2565,ETC office ,551
อังคารที่ 25 มกราคม 2565,7-Eleven Stop,700
อังคารที่ 25 มกราคม 2565,ETC office ,571
พุธที่ 26 มกราคม 2565,7-Eleven Stop,680
พุธที่ 26 มกราคม 2565,ETC office ,558
พฤหัสบดีที่ 27 มกราคม 2565,7-Eleven Stop,660
พฤหัสบดีที่ 27 มกราคม 2565,ETC office ,595
ศุกร์ที่ 28 มกราคม 2565,7-Eleven Stop,624
ศุกร์ที่ 28 มกราคม 2565,ETC office ,573
จันทร์ที่ 31 มกราคม 2565,7-Eleven Stop,631
จันทร์ที่ 31 มกราคม 2565,ETC office ,524
อังคารที่ 1 กุมภาพันธ์ 2565,7-Eleven Stop,749
อังคารที่ 1 กุมภาพันธ์ 2565,ETC office ,618
พุธที่ 2 กุมภาพันธ์ 2565,7-Eleven Stop,834
พุธที่ 2 กุมภาพันธ์ 2565,ETC office ,622
พฤหัสบดีที่ 3 กุมภาพันธ์ 2565,7-Eleven Stop,787
พฤหัสบดีที่ 3 กุมภาพันธ์ 2565,ETC office ,613
ศุกร์ที่ 4 กุมภาพันธ์ 2565,7-Eleven Stop,749
ศุกร์ที่ 4 กุมภาพันธ์ 2565,ETC office ,521
ศุกร์ที่ 4 กุมภาพันธ์ 2565,Building A Gate 6,137
จันทร์ที่ 7 กุมภาพันธ์ 2565,7-Eleven Stop,769
จันทร์ที่ 7 กุมภาพันธ์ 2565,ETC office ,624
จันทร์ที่ 7 กุมภาพันธ์ 2565,Building A Gate 6,143
อังคารที่ 8 กุมภาพันธ์ 2565,7-Eleven Stop,824
อังคารที่ 8 กุมภาพันธ์ 2565,ETC office ,579
อังคารที่ 8 กุมภาพันธ์ 2565,Building A Gate 6,134
พุธที่ 9 กุมภาพันธ์ 2565,7-Eleven Stop,816
พุธที่ 9 กุมภาพันธ์ 2565,ETC office ,584
พุธที่ 9 กุมภาพันธ์ 2565,Building A Gate 6,99
พฤหัสบดีที่ 10 กุมภาพันธ์ 2565,7-Eleven Stop,783
พฤหัสบดีที่ 10 กุมภาพันธ์ 2565,ETC office ,592
พฤหัสบดีที่ 10 กุมภาพันธ์ 2565,Building A Gate 6,131
ศุกร์ที่ 11 กุมภาพันธ์ 2565,7-Eleven Stop,714
ศุกร์ที่ 11 กุมภาพันธ์ 2565,ETC office ,514
ศุกร์ที่ 11 กุมภาพันธ์ 2565,Building A Gate 6,118
จันทร์ที่ 14 กุมภาพันธ์ 2565,7-Eleven Stop,745
จันทร์ที่ 14 กุมภาพันธ์ 2565,ETC office ,640
จันทร์ที่ 14 กุมภาพันธ์ 2565,Building A Gate 6,161
อังคารที่ 15 กุมภาพันธ์ 2565,7-Eleven Stop,739
อังคารที่ 15 กุมภาพันธ์ 2565,ETC office ,592
อังคารที่ 15 กุมภาพันธ์ 2565,Building A Gate 6,122
